"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"32.85";"33.00";"31.97";"32.00";"12/11/2018 17:35";"CET";"304842";"9842931.29"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"23.07";"23.43";"22.95";"23.02";"12/11/2018 17:35";"CET";"2317290";"53537351.82"
"ACCELL GROUP";"NL0009767532";"ACCEL";"Euronext Amsterdam";"EUR";"15.60";"15.60";"15.02";"15.16";"12/11/2018 17:35";"CET";"58990";"897153.12"
"ACCSYS";"GB00BQQFX454";"AXS";"Euronext Amsterdam";"EUR";"1.17";"1.195";"1.165";"1.165";"12/11/2018 17:35";"CET";"23583";"27601.38"
"ADYEN";"NL0012969182";"ADYEN";"Euronext Amsterdam";"EUR";"588.30";"593.20";"572.80";"573.30";"12/11/2018 17:35";"CET";"36389";"21121153.00"
"AEGON";"NL0000303709";"AGN";"Euronext Amsterdam";"EUR";"5.55";"5.602";"5.52";"5.536";"12/11/2018 17:35";"CET";"5645366";"31341908.31"
"AHOLD DEL";"NL0011794037";"AD";"Euronext Amsterdam, Brussels";"EUR";"22.52";"22.965";"22.51";"22.555";"12/11/2018 17:35";"CET";"6185077";"140137279.01"
"AIR FRANCE -KLM";"FR0000031122";"AF";"Euronext Paris, Amsterdam";"EUR";"9.816";"9.842";"9.414";"9.566";"12/11/2018 17:37";"CET";"3592983";"34448110.19"
"AJAX";"NL0000018034";"AJAX";"Euronext Amsterdam";"EUR";"14.10";"14.25";"14.05";"14.25";"12/11/2018 17:35";"CET";"4037";"57051.00"
"AKZO NOBEL";"NL0000009132";"AKZA";"Euronext Amsterdam";"EUR";"74.88";"75.18";"73.66";"73.78";"12/11/2018 17:35";"CET";"483084";"35765150.76"
"ALFEN";"NL0012817175";"ALFEN";"Euronext Amsterdam";"EUR";"15.80";"15.80";"14.862";"15.074";"12/11/2018 17:37";"CET";"30142";"461886.36"
"ALTICE EUROPE B";"NL0011333760";"ATCB";"Euronext Amsterdam";"EUR";"2.242";"2.27";"2.124";"2.128";"12/11/2018 17:35";"CET";"66642";"147347.50"
"ALTICE EUROPE N.V.";"NL0011333752";"ATC";"Euronext Amsterdam";"EUR";"2.24";"2.266";"2.121";"2.13";"12/11/2018 17:35";"CET";"4973175";"10867379.05"
"ALUMEXX N.V.";"NL0012194724";"ALX";"Euronext Amsterdam";"EUR";"0.514";"0.514";"0.491";"0.491";"12/11/2018 16:00";"CET";"8096";"4117.09"
"AMG";"NL0000888691";"AMG";"Euronext Amsterdam";"EUR";"41.42";"41.86";"40.04";"40.22";"12/11/2018 17:35";"CET";"269037";"10942841.32"
"AMSTERDAM COMMOD.";"NL0000313286";"ACOMO";"Euronext Amsterdam";"EUR";"19.00";"19.26";"18.60";"18.60";"12/11/2018 17:35";"CET";"8293";"158125.64"
"AND INTERNATIONAL";"NL0000430106";"AND";"Euronext Amsterdam";"EUR";"2.60";"2.68";"2.50";"2.61";"12/11/2018 14:33";"CET";"4755";"12081.88"
"AP ALTERNAT ASSETS";"GB00B15Y0C52";"AAA";"Euronext Amsterdam";"USD";"0.12";"0.13";"0.12";"0.13";"12/11/2018 16:12";"CET";"9348";"1029.28"
"APERAM";"LU0569974404";"APAM";"Euronext Amsterdam, Brussels, Paris";"EUR";"28.55";"29.00";"28.04";"28.09";"12/11/2018 17:35";"CET";"320626";"9097837.23"
"ARCADIS";"NL0006237562";"ARCAD";"Euronext Amsterdam";"EUR";"12.20";"12.28";"11.93";"11.95";"12/11/2018 17:35";"CET";"115072";"1396833.68"
"ARCELORMITTAL SA";"LU1598757687";"MT";"Euronext Amsterdam, Paris";"EUR";"22.59";"22.825";"21.71";"21.75";"12/11/2018 17:35";"CET";"4907980";"108853006.92"
"ASM INTERNATIONAL";"NL0000334118";"ASM";"Euronext Amsterdam";"EUR";"38.60";"39.00";"36.50";"36.60";"12/11/2018 17:35";"CET";"233000";"8663784.65"
"ASML HOLDING";"NL0010273215";"ASML";"Euronext Amsterdam";"EUR";"155.26";"155.62";"148.24";"148.90";"12/11/2018 17:35";"CET";"1945673";"292818676.04"
"ASR NEDERLAND";"NL0011872643";"ASRNL";"Euronext Amsterdam";"EUR";"41.88";"41.88";"41.12";"41.20";"12/11/2018 17:35";"CET";"205423";"8493808.16"
"ATRIUM EUR REALEST";"JE00B3DCF752";"ATRS";"Euronext Amsterdam";"EUR";"3.80";"3.80";"3.655";"3.655";"12/11/2018 11:57";"CET";"249";"912.57"
"AVANTIUM";"NL0012047823";"AVTX";"Euronext Amsterdam, Brussels";"EUR";"3.49";"3.50";"3.385";"3.385";"12/11/2018 17:02";"CET";"9148";"31245.84"
"B&S Group";"LU1789205884";"BSGR";"Euronext Amsterdam";"EUR";"16.80";"16.80";"16.186";"16.22";"12/11/2018 17:35";"CET";"7938";"129974.67"
"BAM GROEP KON";"NL0000337319";"BAMNB";"Euronext Amsterdam";"EUR";"3.00";"3.094";"2.987";"3.064";"12/11/2018 17:35";"CET";"2433599";"7443374.55"
"BASIC-FIT";"NL0011872650";"BFIT";"Euronext Amsterdam";"EUR";"27.30";"27.30";"26.60";"26.60";"12/11/2018 17:35";"CET";"24359";"650663.60"
"BATENBURG TECHNIEK";"NL0006292906";"BATEN";"Euronext Amsterdam";"EUR";"46.00";"46.00";"46.00";"46.00";"12/11/2018 09:00";"CET";"45";"2070.00"
"BE Semiconductor";"NL0012866412";"BESI";"Euronext Amsterdam";"EUR";"19.36";"19.43";"18.29";"18.41";"12/11/2018 17:38";"CET";"817531";"15235788.95"
"BETER BED";"NL0000339703";"BBED";"Euronext Amsterdam";"EUR";"4.975";"4.975";"4.755";"4.77";"12/11/2018 17:35";"CET";"56018";"273116.37"
"BEVER HOLDING";"NL0000285278";"BEVER";"Euronext Amsterdam";"EUR";"3.50";"3.50";"3.50";"3.50";"07/11/2018 17:11";"CET";"94";"329.00"
"BINCKBANK";"NL0000335578";"BINCK";"Euronext Amsterdam";"EUR";"4.50";"4.50";"4.37";"4.37";"12/11/2018 17:35";"CET";"155098";"685789.91"
"BOSKALIS WESTMIN";"NL0000852580";"BOKA";"Euronext Amsterdam";"EUR";"25.06";"25.30";"24.56";"24.80";"12/11/2018 17:36";"CET";"307184";"7639702.46"
"BOUSSARD GAVAUD C";"GG00B1XFMJ13";"BGHLC";"Euronext Amsterdam";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"BOUSSARD GAVAUDAN";"GG00B1FQG453";"BGHL";"Euronext Amsterdam";"EUR";"17.80";"18.10";"17.80";"18.10";"12/11/2018 17:12";"CET";"3135";"56028.70"
"BOUSSARD GHL GBP";"GG00B39VMM07";"BGHS";"Euronext Amsterdam";"GBP";"10.00";"10.00";"10.00";"10.00";"21/12/2010 11:50";"CET";"188";"1880.00"
"BRILL KON";"NL0000442523";"BRILL";"Euronext Amsterdam";"EUR";"18.70";"18.90";"18.20";"18.50";"12/11/2018 15:01";"CET";"1352";"24926.30"
"BROOKFIELD ASSET M";"CA1125851040";"BAMA";"Euronext Amsterdam";"EUR";"29.80";"29.80";"29.80";"29.80";"23/07/2014 17:35";"CET";"450";"13410.00"
"BRUNEL INTERNAT";"NL0010776944";"BRNL";"Euronext Amsterdam";"EUR";"12.60";"12.60";"12.00";"12.09";"12/11/2018 17:35";"CET";"139115";"1685598.26"
"COCA-COLA EUROPEAN";"GB00BDCPN049";"CCEP";"Euronext Amsterdam, London";"EUR";"41.80";"42.68";"41.56";"42.44";"12/11/2018 17:36";"CET";"92975";"3937194.94"
"CORBION";"NL0010583399";"CRBN";"Euronext Amsterdam";"EUR";"26.22";"26.42";"26.06";"26.14";"12/11/2018 17:35";"CET";"33285";"872536.70"
"CORE LABORATORIES";"NL0000200384";"CLB";"Euronext Amsterdam";"EUR";"77.00";"77.50";"77.00";"77.00";"12/11/2018 15:40";"CET";"23";"1775.00"
"CTAC";"NL0000345577";"CTAC";"Euronext Amsterdam";"EUR";"2.63";"2.63";"2.33";"2.38";"12/11/2018 17:29";"CET";"26680";"64700.61"
"CURETIS";"NL0011509294";"CURE";"Euronext Amsterdam, Brussels";"EUR";"1.90";"1.905";"1.74";"1.79";"12/11/2018 17:35";"CET";"61699";"110569.43"
"DGB GROUP N.V.";"NL0009169515";"DGB";"Euronext Amsterdam";"EUR";"0.78";"0.78";"0.766";"0.766";"12/11/2018 16:02";"CET";"2775";"2132.65"
